,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,month_year_creation
0,CqW9bECdw2Jjk9DDU7UyE6P59TukYFISNE8J6sN66u4=,CqW9bECdw2Jjk9DDU7UyE6P59TukYFISNE8J6sN66u4=,CqW9bECdw2Jjk9DDU7UyE6P59TukYFISNE8J6sN66u4=,,Associate editor & online editor at Peace Data. RTs are not endorsements. Views are personal.,https://t.co/gZWbHGaHwt,691,1490,2014-04-04,en,April 2014
1,uOrf1TDmM7vP4YEhOJDXORoqvpDlsJt03AyOfhrZo=,uOrf1TDmM7vP4YEhOJDXORoqvpDlsJt03AyOfhrZo=,uOrf1TDmM7vP4YEhOJDXORoqvpDlsJt03AyOfhrZo=,Planet Earth,"Peace Data is a global news organization. We cover stories that are usually untold or kept hidden from the general public.

Contact us: info@peacedata.net",https://t.co/gZWbHGsio1,3152,4142,2019-12-25,en,December 2019
2,LXW4uuq2JWx4So6ycDFanp4qYQxNvj0ftiuyUe3tZo=,LXW4uuq2JWx4So6ycDFanp4qYQxNvj0ftiuyUe3tZo=,LXW4uuq2JWx4So6ycDFanp4qYQxNvj0ftiuyUe3tZo=,Germany,"An activist, an editor
Communications manager for https://t.co/gZWbHGaHwt",https://t.co/gZWbHGaHwt,37,44,2020-06-03,en,June 2020
3,oqEFFiOrA+QVN8mEK0wweRTMmY2FQNB6XE5baB1Wik=,oqEFFiOrA+QVN8mEK0wweRTMmY2FQNB6XE5baB1Wik=,oqEFFiOrA+QVN8mEK0wweRTMmY2FQNB6XE5baB1Wik=,Netherlands,Associate editor @peacedata_,https://t.co/gZWbHGaHwt,42,94,2020-05-25,en,May 2020
4,KjTkk0ZTF6mmlwxdxA13V1UVlB+NAeaWoH9YqBCFEE=,KjTkk0ZTF6mmlwxdxA13V1UVlB+NAeaWoH9YqBCFEE=,KjTkk0ZTF6mmlwxdxA13V1UVlB+NAeaWoH9YqBCFEE=,,منظمة إخبارية عالمية ومجمعة مكرسة للكشف عن جرائم الحرب وكشف نخب العالم الفاسدة. يركز محتوى معلوماتها على النزاعات المسلحة والفساد وأزمة البيئة وإساءة استخدام,https://t.co/RKdMljFPhm,295,1661,2020-05-15,en,May 2020
5,XXGVOi5YSPwaVfYMAaxDiyrMQLLUEnjZLaC3oJMbuE=,XXGVOi5YSPwaVfYMAaxDiyrMQLLUEnjZLaC3oJMbuE=,XXGVOi5YSPwaVfYMAaxDiyrMQLLUEnjZLaC3oJMbuE=,دولة قطر,تنظيم وحشي و خارق للعهود,,139,213,2018-03-07,ar,March 2018
6,SA+FyRoFe3GYU2pyLXWibxoqUWJAq3P1fBzXPoPcOlE=,SA+FyRoFe3GYU2pyLXWibxoqUWJAq3P1fBzXPoPcOlE=,SA+FyRoFe3GYU2pyLXWibxoqUWJAq3P1fBzXPoPcOlE=,,‏‏QatarInterimGov حكومة قطر الانتقالية,,0,0,2020-05-13,ar,May 2020
7,Vmr9hPfsnUjYT2D8h+uyDDtRgvLRxzLyQgjW2g0YiGg=,Vmr9hPfsnUjYT2D8h+uyDDtRgvLRxzLyQgjW2g0YiGg=,Vmr9hPfsnUjYT2D8h+uyDDtRgvLRxzLyQgjW2g0YiGg=,Qatar,الحساب الرسمي,,2807,15,2018-11-16,en,November 2018
8,CGLGkVlFO4n4q+nbBhsvw25+kUXaJnHbtpbX72Fub0=,CGLGkVlFO4n4q+nbBhsvw25+kUXaJnHbtpbX72Fub0=,CGLGkVlFO4n4q+nbBhsvw25+kUXaJnHbtpbX72Fub0=,,,,4,0,2010-07-29,en,July 2010
9,6B+mlr2aRySPKwMS4qxDQGRFEKI3DqdmXpg0SkXNlvg=,6B+mlr2aRySPKwMS4qxDQGRFEKI3DqdmXpg0SkXNlvg=,6B+mlr2aRySPKwMS4qxDQGRFEKI3DqdmXpg0SkXNlvg=,,"ادعموني لنردع الظلم ولكي نرد كيد المنافقين الذين يدافعون عن الظلم ''تسقط حكومة الاٍرهاب في قطر ''اللهم احفظ الخليج وثبتهم على رأي واحد ""اغار على بلادي"" قطري حر",,277,1190,2016-01-26,en,January 2016
